Porównanie algorytmów 1 i 2 dla ró¿nych d³ugoœci dokumentów (liczby s³ów)  dla jêzyka Portugalskiego				
	Alg. 1	 Alg. 2		
10	49	37	98	74
20	50	45	100	90
30	50	45	100	90
40	50	48	100	96
50	50	49	100	98
60	50	49	100	98
70	50	50	100	100
80	50	50	100	100
90	50	50	100	100
100	50	50	100	100
110	50	50		
120	50	50		
130	50	50		
140	50	50		
150	50	50		
160	50	50		
170	50	50		
180	50	50		
190	50	50		
200	50	50		
210	50	50		
220	50	50		
230	50	50		
240	50	50		
250	50	50		
260	50	50		
270	50	50		
280	50	50		
290	50	50		
300	50	50		
