Porównanie algorytmów 1 i 2 dla różnych długości słownika dla języka: French
;Alg. 1; Alg. 2
20;50;49
40;50;50
60;50;50
80;50;50
100;50;50
120;50;50
140;50;50
160;50;50
180;50;50
200;50;50
220;50;50
240;50;50
260;50;50
280;50;50
300;50;50
320;50;50
340;50;50
360;50;50
380;50;50
400;50;50
420;50;50
440;50;50
460;50;50
480;50;50
500;50;50
520;50;50
540;50;50
560;50;50
580;50;50
600;50;50
620;50;50
640;50;50
660;50;50
680;50;50
700;50;50
720;50;50
740;50;50
760;50;50
780;50;50
800;50;50
820;50;50
840;50;50
860;50;50
880;50;50
900;50;50
920;50;50
940;50;50
960;50;50
980;50;50
1000;50;50
