Porównanie algorytmów 1 i 2 dla różnych długości słownika dla języka: German
;Alg. 1; Alg. 2
20;49;49
40;49;49
60;49;49
80;49;49
100;49;49
120;49;49
140;49;49
160;49;49
180;49;49
200;49;49
220;49;49
240;49;49
260;49;49
280;49;49
300;49;49
320;49;49
340;49;49
360;49;49
380;49;49
400;49;49
420;49;49
440;49;49
460;49;49
480;49;49
500;49;49
520;49;49
540;49;49
560;49;49
580;49;49
600;49;49
620;49;49
640;49;49
660;49;49
680;49;49
700;49;49
720;49;49
740;49;49
760;49;49
780;49;49
800;49;49
820;49;49
840;49;49
860;49;49
880;50;49
900;50;49
920;50;49
940;50;49
960;50;49
980;50;49
1000;50;49
